INVENTORY_ID,JURISDICTION,OWNER_TYPE,OWNER_NAME,STANDARD_TYPE,STANDARD_VERSION,STANDARD_ID,STANDARD_REVISION,INVENTORY_MANUAL,SRC_DATA_FORMAT,DATE_PUBLISHED,ACQUISITION_DATE,DATA_TRANSFER,RECEIVED_FROM,CONTACT_INFO,DATA_AVAILABILITY,REDISTRIBUTION,PERMISSION,LICENSE_AGREEMENT,PHOTO_YEAR_DETAILS,PHOTO_YEAR_START,PHOTO_YEAR_END,COVERAGE_IMAGE,COMMENT,ExportedSourceFiles  Pythonscript (v4),PHOTO_YEAR_SRC,LOCATION,CAS02,CAS03,CAS04,CAS05_initial,CAS05_temporal
AB11,,PROV_GOV,CROWN_WELWOOD,AVI,2.1,AVI01,,AVI 2.1 manual,E00,,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1987,2001,JPEG,Received under BEEST project,Export_ABCROWNFMA_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWNFMA/Weldwood,X,X,X,X,X
AB12,,PROV_GOV,CROWN_WEYERHAUSER,AVI,2.1,AVI01,,AVI 2.1 manual,E00,,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1988,2003,JPEG,Not used in CASFRI v3. Received under BEEST project,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB13,,PROV_GOV,CROWN_FIRSTNATION,AVI,2.1,AVI01,,AVI 2.1 manual,E00,,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1987,2000,JPEG,Not used in CASFRI v3. Received under BEEST project,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB14,,INDUSTRY,ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,E00,,2/27/2009,On a DVD,Gido from Timberline Natural resource group,Unknown,Direct contact,Needs direct agreement from the owner under the license agreement,RESTRICTED ,Expired. Signed version is with Alpac,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1988,2000,JPEG,,Export_AB0014_Alpac_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/NONGOV/Alpac/prior_2012,X,X,X,X,X
AB15,,INDUSTRY,CALLING_LAKE,AVI,2.1,AVI01,,AVI 2.1 manual,Coverage,,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1990,1998,JPEG,Not used in CASFRI v3. ,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB16,,INDUSTRY,CANFOR,AVI,2.1,AVI01,,AVI 2.1 manual,Coverage,Unknown,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1988,1995,JPEG,,Export_AB0016_CANFOR_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/NONGOV/Canfor,X,X,X,X,X
AB17,,INDUSTRY,DAISHOWA,AVI,2.1,AVI01,,AVI 2.1 manual,Coverage,,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,,,JPEG,Not used in CASFRI v3. ,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB18,,INDUSTRY,DMI,AVI,2.1,AVI01,,AVI 2.1 manual,Coverage,,2000,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1988,2003,JPEG,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0018_DMI_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/NONGOV/DMI,X,X,X,X,X
AB19,,INDUSTRY,HR_FIRE,AVI,2.1,AVI01,,AVI 2.1 manual,Shapefile,,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1993,1998,JPEG,Not used in CASFRI v3. ,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB20,,INDUSTRY,SLAVELAKEPULP,AVI,2.1 other,AVI02,other,,Coverage,,2000,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1991,2001,JPEG,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0020_SlaveLake_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/NONGOV/SlaveLakePulp,X,X,X,X,X
AB21,,INDUSTRY,TOLKO,AVI,2.1,AVI01,,AVI 2.1 manual,Shapefile,,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1988,2003,JPEG,,Export_AB0021_Tolko_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/NONGOV/Tolko/avi.shp,X,X,X,X,X
AB22,,INDUSTRY,WEYCO,AVI,2.1,AVI01,,AVI 2.1 manual,Coverage,,3/21/2002,Missing,Fiona Schmiegelow,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1991,2000,JPEG,Not used in CASFRI v3. ,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB23,,INDUSTRY,WEYCO_P3,AVI,2.1,AVI01,,AVI 2.1 manual,Coverage,,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,,,JPEG,Not used in CASFRI v3. ,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB24,,INDUSTRY,WEYERHAUSER,AVI,2.1,AVI01,,AVI 2.1 manual,Shapefile,,2004,Missing,Harry Stelfox,Unknown,Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1987,2003,JPEG,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0024_Weyerhauser.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/AB_NONGOV/Weyerhauser/AVI.shp,X,X,X,X,X
AB25,,PROV_GOV,CROWN,AVI,2.1 With Revisions,AVI03,With revisions,AVI 2.1 manual,Shapefile,,4/22/2012,Alberta ftp site,Heather Evans,"Heather Evans. GIS technologist. Alberta Sustainable Resource Development. > 9820 - 106 Street NW,  Edmonton, Alberta T5K 2J6.  Phone: (780) 427-7374. Email:  heather.evans@gov.ab.ca",Direct contact,Needs direct agreement from the owner under the license agreement,RESTRICTED,License agreement,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1987,2008,JPEG,,Export_ABCROWN_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWN,,X,X,X,X
AB26,,INDUSTRY,CENOVUS,AVI,2.1,AVI01,,AVI 2.1 manual,Geodatabase,,12/15/2014,Cenovus ftp site,Michelle Blouin,"Michelle Blouin, Environmental GIS Analyst. Phone: (403) 766-2658  Email: michelle.blouin@cenovus.com",Direct contact,Not specified,RESTRICTED,Agreement made by email,,,,,,Export_AB0026_Cenovus_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/AVI_Cenovus/AVI_Cenovus_CLAWR_20141211.gdb,,,X,X,X
AB27,,INDUSTRY,ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,Geodatabase,,4/2/2014,DVD received by mail,Dave Cheyne,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",Direct contact,Not specified,RESTRICTED,Agreement made by email,,,,,,Export_AB0027_AlpacAVI2012_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/ALPAC/gdb/avi_2012.gdb,,,X,X,X
AB28,,INDUSTRY,ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,mdb,,4/2/2014,DVD received by mail,Dave Cheyne,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",Direct contact,Not specified,RESTRICTED,Agreement made by email,,,,,,Export_AB0028_AlpacS1493comp_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/NONGOV/Alpac/S14_93comp,,,X,X,X
BC01,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,FIP,,FIP01,,FIP data dictionnary,Geodatabase,,5/14/2012,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,1953,2008,JPEG,A VRI_FIP equivalent tables are found in the same folder than the documentation.,,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.03,X,X,,,X
BC02,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,VRI,,VRI01,,VRI data dictionnary,Geodatabase,,5/14/2012,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,1955,2011,JPEG,,,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.03,X,X,,,X
BC03,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,I,,BCI01,,,Geodatabase,,5/14/2012,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,,,JPEG,Not used in CASFRI v3.  Unknown standard,,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.03,X,,,,X
BC04,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,FIP,,FIP01,,FIP data dictionnary,Geodatabase,,5/27/2014,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,1953,2008,JPEG,A VRI_FIP equivalent tables are found in the same folder than the documentation. This inventory only include layer 1,Export_BCgov02_V4.py,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.04/BCGOV/VEG_COMP_LYR_R1_POLY.gdb,,,X,,X
BC05,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,VRI,,VRI01,,VRI data dictionnary,Geodatabase,,5/27/2014,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,1955,2011,JPEG,This inventory only include layer 1,Export_BCgov02_V4.py,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.04/BCGOV/VEG_COMP_LYR_R1_POLY.gdb,,,X,,X
BC06,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,I,,BCI01,,,Geodatabase,,5/27/2014,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,,,JPEG,Not used in CASFRI v4.  Unknown standard This inventory only include layer 1,,,,,,,,X
BC07,,INDUSTRY,CANFOR,VRI,,VRI01,,VRI data dictionnary,Geodatabase,,4/15/2014,CANFOR ftp site,Carol Norris,"Don Rosen, Forestry Operations Supervisor, Canadian Forest Products Ltd. - Chetwynd. Email: don.rosen@canfor.com Phone 250-788-4304 ",Direct contact,Needs direct agreement from the owner under the license agreement,RESTRICTED,License agreement,email from Carol Norris (see comment),1993,1998,,"I had a quick look through the airphotos we have here and found many dated Aug 1993/Aug 1994, and another batch labelled TFL 48 Phase II Sampling 1998",Export_BCtfl4801_V4.py,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.04/cfp_tfl48_vri/cfp_tfl48_vri.gdb,,,X,,X
BC08,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,"FIP,VRI,I,LVI",,VRI01,,VRI data dictionnary,Geodatabase,6/11/2018,,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,"1953,1954,1905,1997","2017,2017,2017,2017",NA,PV and ME think we can use one translation file for the entire FRI. No longer a need to split into different inventories using the INVENTORY_STANDARD_CD field,,VALUE_PER_STAND,FRIs/BC/SourceDataset/v.00.05/VEG_COMP_LYR_R1_POLY.gdb,,,,X,X
BC09,,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,"FIP,VRI,I,LVI",,VRI01,,VRI data dictionnary,Geodatabase,17/12/2018,,Direct download,download from  http://www.for.gov.bc.ca/hts/vridata/,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,Free with acknowledgment,UNRESTRICTED,License agreements,Included in SIDS,,,NA,Now includes CANFOR data,,,,,,,,
MB01,,INDUSTRY,Tembec,PRE97,,PRE01,,Tembec manual 1.3 1996_97,Shapefile,,4/22/2008,Manitoba gov ftp website,James Boyd,"Vince Keenan, Divisional Forested, Tembec Industries Inc. Pine Falls Operations. Box 10, Pine Falls, Mb, R0E 1M0. Phone: 204 367-5224. Email: vince.keenantembec.com. Web Page: www.tembec-frm-manitoba.ca",Direct contact,Not specified,RESTRICTED to BAM and BEACON project,Agreement made by email,Included in SIDS,1997,1997,JPEG,The inventory was given by the province following the agreement with the forest compagny.,Export_MBtembec01_V4.py,VALUE_PER_STAND,FRIs/MB/SourceDataset/v.00.04/Tembec/fml1_fri97.shp,X,X,X,X,X
MB02,,INDUSTRY,LouisianaPacific,FLI,,FLI01,,FLI Users Guide,e00,,8/10/2008,On a DVD,Donna Kopecky,Donna Kopecky. District Biologist. Louisiana Pacific Corporation. Swan Valley Forest Resources Division. Phone: 1-888-433-4672. Email:Donna.Kopecky@lpcorp.com. Web Page: www.swanvalleyforest.ca or www.lpcorp.co,Direct contact,Stored at UofA and mirrored at Laval,RESTRICTED TO BAM project,License agreement. Signed version is with Manitoba LP,Photoyear given at the inventory level,1998,1998,JPEG,,Export_MBLP01_V4.py,GLOBAL_INVENTORY,FRIs/MB/SourceDataset/NONGOV/LouisianaPacific/Duck_mountain.e00,X,X,X,X,X
MB03,,PROV_GOV,"Manitoba Government, Conservation and Water Stewardship,Forestry Branch",FRI,,FRI01,,FRI manuals,shapefile,,2088,On a DVD,On DVD from James Boyd,"James Boyd, Inventory Forester. Manitoba Conservation. 200 Saulteaux Crescent. Winnipeg, Mb. Phone :204 945-7951. Email: james.boyd2@gov.mb.ca",Direct contact,Free with acknowledgment,UNRESTRICTED,License agreements,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1969,2001,JPEG,Not used in CASFRI v4. A new version of Manitoba Gov forest inventory is available since 2013-03-03,,,,X,X,,,X
MB04,,INDUSTRY(Porcupine Mountain),PorcupineBranch (LP),FLI,,FLI01,,FLI Users Guide,e00,,8/10/2008,On a DVD,Donna Kopecky,Donna Kopecky. District Biologist. Louisiana Pacific Corporation. Swan Valley Forest Resources Division. Phone: 1-888-433-4672. Email:Donna.Kopecky@lpcorp.com. Web Page: www.swanvalleyforest.ca or www.lpcorp.co,Direct contact,Stored at UA and mirrored at Lava,RESTRICTED TO BAM project,License agreement. Signed version is with Manitoba LP,Photoyear given at the inventory level,2000,2000,JPEG,,Export_MBLP01_V4.py,GLOBAL_INVENTORY,FRIs/MB/SourceDataset/NONGOV/LouisianaPacific/Porc_mountain.e00,X,X,X,X,X
MB05,,PROV_GOV,"Manitoba Government, Conservation and Water Stewardship,Forestry Branch",FRI,,FRI01,,FRI manuals,Geodatabase,,summer 2012,On a DVD,On DVD from James Boyd,"James Boyd, Inventory Forester. Manitoba Conservation. 200 Saulteaux Crescent. Winnipeg, Mb. Phone :204 945-7951. Email: james.boyd2@gov.mb.ca",Direct contact,Free with acknowledgment,UNRESTRICTED,License agreements,"Included in SIDS, field YEARPHOTO",1969,2001,,,Export_MBgov01_V4.py,VALUE_PER_STAND,FRIs/MB/SourceDataset/v.00.04/GOV/MFAGeodatabase.gdb,,,X,X,X
MB06,,PROV_GOV,"Manitoba Government, Conservation and Water Stewardship,Forestry Branch",FLI,,FLI01,,FLI Users Guide,Geodatabase,,summer 2012,On a DVD,On DVD from James Boyd,"James Boyd, Inventory Forester. Manitoba Conservation. 200 Saulteaux Crescent. Winnipeg, Mb. Phone :204 945-7951. Email: james.boyd2@gov.mb.ca",Direct contact,Free with acknowledgment,UNRESTRICTED,License agreements,"Included in SIDS, field YEARPHOTO",1969,2001,,,Export_MBgov01_V4.py,VALUE_PER_STAND,FRIs/MB/SourceDataset/v.00.04/GOV/MFAGeodatabase.gdb,,,X,X,X
MB07,,INDUSTRY,High Rock,FLI,,FLI01,,FLI Users Guide,Geodatabase,,8/13/2013,Steve ftp site,Tony Viveiros,"Tony Viveiros, GISP. GIS Database Manager, Conservation and Water Stewardship. Forestry Branch/GeoManitoba. Box 70 - 200 Saulteaux crescent, Winnipeg, MB, R3J 3W3. Phone: 204-806-5848, Email: antonio.viveiros@gov.mb.ca",Direct contact,Not specified,Not specified,Not specified,"Included in SIDS, field YEARPHOTO",2007,2009,,,Export_MBHR_V4.py,VALUE_PER_STAND,FRIs/MB/SourceDataset/v.00.04/HighRock/LCV_MB_FLI_HIGHROCK_20072009.gdb,,,X,X,X
